iter	Passed	Remaining
0	221	221412
1	237	118712
2	255	84935
3	272	67938
4	289	57673
5	305	50689
6	322	45773
7	339	42129
8	355	39091
9	372	36915
10	396	35616
11	419	34566
12	442	33612
13	465	32753
14	489	32124
15	514	31633
16	539	31167
17	559	30507
18	582	30055
19	606	29727
20	629	29347
21	652	29002
22	674	28657
23	697	28346
24	718	28017
25	737	27612
26	756	27265
27	778	27020
28	798	26733
29	817	26422
30	835	26119
31	856	25899
32	878	25749
33	900	25591
34	921	25420
35	946	25348
36	970	25252
37	991	25094
38	1013	24981
39	1037	24899
40	1060	24814
41	1082	24693
42	1105	24600
43	1131	24579
44	1153	24476
45	1178	24434
46	1201	24370
47	1223	24258
48	1242	24123
49	1262	23992
50	1285	23917
51	1307	23828
52	1329	23763
53	1351	23669
54	1371	23572
55	1394	23503
56	1416	23441
57	1435	23311
58	1454	23202
59	1475	23108
60	1495	23019
61	1515	22926
62	1536	22854
63	1556	22767
64	1578	22705
65	1597	22613
66	1616	22516
67	1637	22445
68	1658	22382
69	1677	22280
70	1695	22188
71	1712	22066
72	1728	21954
73	1745	21840
74	1761	21721
75	1778	21617
76	1798	21560
77	1816	21471
78	1832	21367
79	1852	21308
80	1872	21240
81	1892	21184
82	1904	21044
83	1924	20985
84	1946	20948
85	1965	20890
86	1985	20831
87	2005	20783
88	2023	20715
89	2041	20639
90	2055	20531
91	2073	20465
92	2082	20314
93	2100	20246
94	2120	20198
95	2137	20132
96	2154	20059
97	2175	20028
98	2199	20014
99	2219	19974
100	2238	19923
101	2256	19867
102	2268	19753
103	2288	19712
104	2308	19675
105	2329	19646
106	2354	19652
107	2376	19627
108	2399	19610
109	2423	19610
110	2455	19667
111	2483	19689
112	2505	19666
113	2535	19704
114	2561	19709
115	2583	19686
116	2605	19665
117	2629	19654
118	2651	19631
119	2674	19615
120	2689	19538
121	2711	19517
122	2734	19499
123	2753	19451
124	2770	19390
125	2786	19330
126	2803	19271
127	2820	19213
128	2837	19160
129	2854	19101
130	2872	19056
131	2891	19011
132	2909	18968
133	2923	18892
134	2943	18863
135	2966	18844
136	2988	18823
137	3010	18802
138	3029	18767
139	3052	18748
140	3074	18730
141	3093	18690
142	3103	18597
143	3118	18538
144	3141	18521
145	3167	18529
146	3192	18525
147	3206	18461
148	3232	18462
149	3259	18472
150	3282	18453
151	3315	18495
152	3365	18633
153	3394	18645
154	3411	18599
155	3429	18555
156	3447	18511
157	3464	18464
158	3480	18410
159	3496	18359
160	3514	18313
161	3531	18268
162	3548	18221
163	3566	18179
164	3583	18135
165	3601	18094
166	3619	18051
167	3636	18011
168	3653	17966
169	3671	17924
170	3689	17884
171	3707	17849
172	3727	17817
173	3745	17778
